respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Imagine que está en una conferencia con otros colegas. Un amigo de otra escuela le pide que describa una experiencia en el aula en la cual probó algo diferente que produjo resultados positivos, negativos, interesantes o mixtos en los alumnos.¿Cuál experiencia compartiría",Mi experiencia produjo…,En esta experiencia me enfoqué en…,Mi intención fue cultivar en los estudiantes…,Los estudiantes aprenden a través de…,En mi experiencia un factor determinante es…,En mi experiencia fueron determinantes…,Mi foco estuvo en cultivar en los estudiantes…,Mi papel como maestro fue…,Pensando en la experiencia/ejemplo que acabo de compartir… A los estudiantes se les animó a aprender…,El aprendizaje fue…,Las decisiones fueron influenciadas por…,En general mi ejemplo/experiencia me produjo,Esta situación sucede…,Esta historia se relaciona con…,Tiempo que llevo trabajando en educación...,Tipo de Institución..,¿En que trayectoria enseña? Puedes seleccionar varias,,,,Género,Edad,Nivel Educativo
12654695282,402519755,2021-05-13 11:51:01,2021-05-13 12:12:52,191.95.174.148,,,,,Sí,GUAVIARE,I.E.T.I. Luz Haydee Guerrero Molina,a,Resultados positivos,El desarrollo socioemocional del alumno,Buenas bases de comprensión para futuros aprendizajes,Aplicar y hacer,"Recursos educativos (ej.. tecnología, fondos, etc.",Maestros y rectores,Habilidades prácticas para la vida/ futura empleabilidad,Ayudar a los estudiantes a alcanzar los objetivos,5,8,11,Felicidad,Una vez,Tecnología,,,,,,,,,
12648784166,402519755,2021-05-11 15:47:00,2021-05-11 15:57:30,181.129.164.235,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,Resultados positivos y negativos,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Aplicar y hacer,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Habilidades prácticas para la vida/ futura empleabilidad,Abrir nuevos mundos para los estudiantes,0,100,100,Felicidad,Con frecuencia,Innovación / creatividad,Más de quince año,No oficial,,Básica Primaria,,,Mujer,50 a 59 años,Normalista
12632070207,402519755,2021-05-05 09:36:22,2021-05-05 09:46:54,186.168.105.236,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,Concurso institucional de robótica ,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Maestros y rectores,Buenas bases para la compresión de futuros aprendizajes,Abrir nuevos mundos para los estudiantes,6,100,100,Felicidad,Con frecuencia,Innovación / creatividad,Más de quince año,No oficial,Preescolar,Básica Primaria,Básica Secundaria,Media,Hombre,50 a 59 años,Licenciado
12622511611,402519755,2021-05-01 21:46:41,2021-05-01 22:00:54,186.81.100.36,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,"Club conversacional con los estudiantes a través de la virtualidad, dónde los estudiantes escogían un país suponiendo que eran de ese país y hablaban en inglés sobre el mismo con lugares turísiticos, comidas, vestimentas, entre otras. Además, los reuní por grupos de cinco personas mientras los demás estudiantes repasaban sus diálogos, teniendo más oportunidad de conocerse y hablar entre ellos aunque la hora de zoom fuera corta.",Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/futura empleabilidad,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Comprensión del mundo que los rodea,Abrir nuevos mundos para los estudiantes,60,72,43,Satisfacción/orgullo,Con frecuencia,Educación / aprendizaje,De uno a cinco años,Oficial,,,Básica Secundaria,,Mujer,20 a 29 años,Profesional no Licenciado
12616736690,402519755,2021-04-29 14:38:48,2021-04-29 14:44:18,190.1.192.8,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,Plataforma quiziz ,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/futura empleabilidad,Aplicar y hacer,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Abrir nuevos mundos para los estudiantes,55,100,85,Felicidad,Con frecuencia,Tecnología,Menos de un año,No oficial,,Básica Primaria,Básica Secundaria,,Mujer,30 a 39 años,Normalista
12616062274,402519755,2021-04-29 11:08:58,2021-04-29 11:12:28,186.86.52.193,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,Realizar una historia tipo cómic ,Resultados positivos,Cumplir con los requerimientos de la IE,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Abrir nuevos mundos para los estudiantes,37,61,20,Felicidad,Con frecuencia,Educación / aprendizaje,De uno a cinco años,No oficial,,,Básica Secundaria,Media,Mujer,20 a 29 años,Licenciado
12615707108,402519755,2021-04-29 09:22:53,2021-04-29 09:28:08,186.86.52.226,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,"El juego llamado minecraft, los estudiantes tuvieron la posibilidad de crear un mundo medieval con laa herramientas que ofrecían el juego. Fue realmente maravilloso ver los estudiantes empoderarse de sus propios conocimientos y mostrar los contenidos de sus investigaciones ",Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Abrir nuevos mundos para los estudiantes,44,100,100,Felicidad,Con frecuencia,Tecnología,De uno a cinco años,No oficial,,Básica Primaria,Básica Secundaria,Media,Mujer,20 a 29 años,Licenciado
12611612779,402519755,2021-04-28 06:09:54,2021-04-28 06:17:12,181.62.54.46,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,"La Experiencia Sembrando Esperanza (la cual implica que los estudiantes siembren una planta, la cuiden y establezcan diferentes narraciones sobre esta; además es una experiencia que tendría matices de 4 meses)",Resultados positivos,El desarrollo socioemocional del alumno,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Abrir nuevos mundos para los estudiantes,85,71,51,Esperanza,Con frecuencia,Educación / aprendizaje,De diez a quince años,No oficial,Preescolar,,Básica Secundaria,Media,Hombre,40 a 49 años,Licenciado
12610847500,402519755,2021-04-27 12:16:55,2021-04-27 22:50:15,186.81.100.36,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,"En mis clases introduje un espacio para escuchar música en ingles de acuerdo a los gustos de mis estudiantes, como si fueran pedidos de radio.",Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Comprensión del mundo que los rodea,Abrir nuevos mundos para los estudiantes,50,70,41,Felicidad,Con frecuencia,Ninguna de las anteriores,De uno a cinco años,No oficial,,Básica Primaria,Básica Secundaria,,Mujer,20 a 29 años,Profesional no Licenciado
12610132613,402519755,2021-04-27 16:38:34,2021-04-27 16:43:08,186.86.52.243,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,Positiva,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Comprensión del mundo que los rodea,Ayudar a los estudiantes a alcanzar los objetivos,17,86,0,Satisfacción/orgullo,Con frecuencia,Educación / aprendizaje,Más de quince año,No oficial,,,Básica Secundaria,Media,Hombre,40 a 49 años,Especialista
