respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",FECHA DE IMPLEMENTACIÓN,DEPARTAMENTO,NOMBRE DEL CENTRO INFANTIL O INSTITUCIÓN EDUCATIVA,¿Cuántos años de experiencia tienes en la educación infantil? ,¿Cuál es tu nivel de formación?,¿Cuéntanos en qué rango de edad te encuentras ?,¿Cuál es tu género?,"Narra una historia relacionada con una situación significativa para ti (positiva, negativa, interesante o mixta), que hayas vivido o que estés viviendo como agente educativo en el centro infantil. Todo lo que quieras decir es válido.",La historia que contaste te generó.,¿Con qué frecuencia sucede la situación que narraste en la historia?,¿Con cuáles de las siguientes situaciones se relaciona tu historia? Escoge 3,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,La vinculación de las familias a las propuestas educativas.,Los momentos de alimentación de las niñas y los niños.,El desempeño de los agentes educativos/docentes y sus prácticas.,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",El acompañamiento al tránsito educativo de las niñas y los niños.,El trabajo colaborativo entre los agentes educativos/docentes.,La articulación entre la propuesta pedagógica y el proyecto educativo institucional.,"Gestión socioemocional de los agentes educativos/docentes, familias, niños y niñas.",La garantía de derechos de los niños y las niñas,"Mientras escribías la historia, sentiste que...",¿Cuál es el actor principal de tu historia?,"Si en la anterior pregunta tu respuesta fue ""Otro"", escribe cuál.","De acuerdo con la historia que contaste, ¿Cuál fue tu rol como agente educativo/docente?","Si fueras una niña o niño de primera infancia, ¿Cómo te gustaría vivir tu educación inicial? Elegir 3 opciones",Una alimentación que me guste.,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,Poder hablar y preguntar más.,Más momentos de juego y diversión.,Exploración con la naturaleza.,Lugares donde me sienta tranquilo(a) y alegre.,Experiencias que me sorprendan y con las que puedo aprender.,Compartir (liderar) experiencias con los demás.,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,Contar con ambientes para disfrutar,op1,op2,"Desde tu rol como agente educativo/docente, ¿hacia dónde enfocarías tus acciones para aportar a la calidad de la educación inicial? Elige 3 opciones",Desarrollar mi creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,Apropiarme e implementar la propuesta pedagógica y los referentes de educación inicial.,Crear o hacer parte de comunidades de aprendizaje con otros actores.,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",Otra,cual
13155160096,411664805,2021-11-25 07:55:46,2021-11-25 08:55:01,200.24.36.122,,,,,Sí,,ANTIOQUIA,Jardín Infantil Buen Comienzo Lusitania,11 a 15 años,Profesional no Licenciado,31 a 40 años,Mujer,"De repente me encuentro en un espacio mágico, lleno de colores y vida reflejado en sus moradores y su huerta. Mientras espero tengo la posibilidad de observar el ingreso de los niños y llenos de optimismo y motivación, lo que me lleva a pensar y esperar que mi estadía en este lugar será en gran medida de alegría y motivación. Estoy viviendo una transición personal y laboral llena de expectativas y ganas de entregar mis conocimientos en pro de la atención integral de nuestra población objetivo, además, abierta al aprendizaje y experiencias que enriquezcan mi ser. El universo y sabio y me ha permitido llegar aquí porque tiene razones valiosa que aportarán a mi proceso de vida y por eso lo recibo con humildad y agradecimiento.",Motivación,Única vez,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,El desempeño de los agentes educativos/docentes y sus prácticas.,,,,,,,,Fui muy honesto y conté lo que me pasó,Otro,Yo,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y niñas.,,Una alimentación que me guste.,,Que mi familia me acompañe más.,,,Exploración con la naturaleza.,,,,,,,,,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,,,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",,
13141763831,411664805,2021-11-19 16:21:08,2021-11-19 16:34:40,200.24.36.122,,,,,Sí,11/19/2021,ANTIOQUIA,Jardín Infantil Buen Comienzo Lusitania,Más de 15 años,Magister,41 a 50 años,Mujer,"Ella estaba muy feliz por esta gran oportunidad y aunque sabía que iba a ser difícil, sin embargo, asumió el reto. Los primeros días tenía ese miedo normal que presentan las personas cuando se enfrentan  a algo nuevo. Este fue su sueño y estaba dispuesta a afrontarlo con decisión y valentía. Los días fueron pasando y entre metidas de pata, temores, preguntas sin responder o respuestas inadecuadas, se fue fortaleciendo su seguridad y hoy, continúa aprendiendo día a día de cada cosa, persona y situación que vive en el Jardín Infantil. Ella se sigue sintiendo siente feliz y motivada, tanto como cuando empezó, de  poder seguir dándolo todo por su labor, especialmente por fortalecer las relaciones interpersonales y reconocer la humanidad que hay detrás de cada uno de  los integrantes de su Tribu. Sólo de esta manera ella siente que su labor cobra significación y recordación en la vida de todos aquellos que impactará de manera directa desde su rol.",Orgullo/Satisfacción,Todo el tiempo,,,,,El desempeño de los agentes educativos/docentes y sus prácticas.,,,,El trabajo colaborativo entre los agentes educativos/docentes.,,"Gestión socioemocional de los agentes educativos/docentes, familias, niños y niñas.",,Fui muy honesto y conté lo que me pasó,Agentes educativos/docentes,No aplica,"Fortalecerme como agente educativo/docente para alcanzar mis proyectos personales, familiares y profesionales.",,,,,,Más momentos de juego y diversión.,,,Experiencias que me sorprendan y con las que puedo aprender.,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,Crear o hacer parte de comunidades de aprendizaje con otros actores.,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",,
13137208290,411664805,2021-11-18 07:58:08,2021-11-18 08:04:55,200.24.36.122,,,,,Sí,11/18/2021,ANTIOQUIA,Jardín Infantil Buen Comienzo Lusitania,11 a 15 años,Especialista,31 a 40 años,Mujer,"La posibilidad de la atención  de manera presencial en el jardín ha posibilitado conectar nuevamente con las familias, los niños, las niñas, sus vivencias diarias, dinámicas familiares y comprender de mejor manera el contexto donde se encuentra inmersa la sede de atención lo cual permite redireccionar esfuerzos e iniciativas en pro de fortalecer las comunidades protectoras y la garantía de derechos en la primera infancia ",Motivación,Todo el tiempo,,,,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Fui muy honesto y conté lo que me pasó,Familias y otras personas significativas,niños y niñas,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y niñas.,,,,Que mi familia me acompañe más.,,,,,,,,,,,,Desarrollar mi creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",,
13137126576,411664805,2021-11-18 07:20:59,2021-11-18 07:29:00,191.106.159.166,,,,,Sí,11/18/2021,ANTIOQUIA,Jardín Infantil Buen Comienzo Lusitania,5 a 10 años,Licienciado,21 a 30 años,Mujer,"Unas de las experiencias más significativas ha sido afrontar el reto de guiar al nivel de jardín, donde los niños y niñas manifiestan canciones, emociones, aceptaciones, desarrollo de sus habilidades etc, ha sido gratificante acompañarlos en cada uno de sus aprendizajes, además trasversal la educación con los elementos tecnológicos que tenemos en el jardín infantil ha producido mayor motivación he impacto en los niños y niñas. JENNIFER ",Alegría,Todo el tiempo,La apropiación y uso de herramientas tecnológicas.,,,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",El acompañamiento al tránsito educativo de las niñas y los niños.,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,No,Potenciar el desarrollo de los niños y las niñas.,Profes más afectivos,,,,,Más momentos de juego y diversión.,,,,,,Contar con ambientes para disfrutar,,,,Desarrollar mi creatividad y recursividad.,,Actualizar mis conocimientos para innovar en mis prácticas.,Apropiarme e implementar la propuesta pedagógica y los referentes de educación inicial.,,,,
13134178006,411664805,2021-11-17 09:42:48,2021-11-17 09:51:44,181.206.100.54,,,,,Sí,11/17/2021,ANTIOQUIA,Jardín Infantil Buen Comienzo Lusitania,11 a 15 años,Normalista,41 a 50 años,Mujer,"El amor de mis niños por mi ?? al estar varios días días en casa por una cirugía y al volver todos felices de verme,ese es mi mejor regalo  y mi motivación para cada día ser mejor persona y seguir mi vocación que es lo que más me apasiona, agradezco a la vida y Dios por tanto ",Orgullo/Satisfacción,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,,,,,,,,,Fui muy honesto y conté lo que me pasó,Agentes educativos/docentes,No,Potenciar el desarrollo de los niños y las niñas.,Profes más afectivos,,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,,,,,,,,,,,Desarrollar mis capacidades socioemocionales.,,,,,,,,
13131242002,411664805,2021-11-16 12:05:48,2021-11-16 12:13:01,191.95.33.196,,,,,Sí,11/16/2021,ANTIOQUIA,Jardín Infantil Buen Comienzo Lusitania,5 a 10 años,Técnicos,21 a 30 años,Mujer,Estoy súper feliz como profe nueva en el jardín Lusitania y con muchas esperanzas de poder seguir aprendiendo al lado de los niños y las niñas de esta linda comunidad,Motivación,De vez en cuando,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,,La disposición intencionada de los ambientes pedagógicos y otros espacios.,,,El trabajo colaborativo entre los agentes educativos/docentes.,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,No,"Fortalecerme como agente educativo/docente para alcanzar mis proyectos personales, familiares y profesionales.",Profes más afectivos,,,,Poder hablar y preguntar más.,,Exploración con la naturaleza.,,,,,,,,,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,,Crear o hacer parte de comunidades de aprendizaje con otros actores.,,,
13116703783,411664805,2021-11-10 15:02:07,2021-11-10 15:12:32,200.24.36.122,,,,,Sí,11/10/2021,ANTIOQUIA,Jardín Infantil Buen Comienzo Lusitania,Menos de 1 año,Profesional no Licenciado,21 a 30 años,Mujer,"Víctor se dobló un tobillo y le presté primeros auxilios sin incrementar su dolor, mientras podía llegar a recibir atención médica. Ahora el me reconoce y me saluda feliz, porque lo ayudé a no sentir más dolor.",Motivación,De vez en cuando,,,,,El desempeño de los agentes educativos/docentes y sus prácticas.,,,,,,"Gestión socioemocional de los agentes educativos/docentes, familias, niños y niñas.",La garantía de derechos de los niños y las niñas,Fui muy honesto y conté lo que me pasó,Niños/niñas,Nadie,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,,,,,Poder hablar y preguntar más.,,,,,Compartir (liderar) experiencias con los demás.,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,,,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",,
13114331314,411664805,2021-11-09 21:44:40,2021-11-09 22:20:02,167.250.121.73,,,,,Sí,11/08/2021,ANTIOQUIA,Jardín Infantil Buen Comienzo Lusitania,5 a 10 años,Técnicos,21 a 30 años,Mujer,"Los niños y niñas preguntaban que cuando se iban del jardín para la escuela algunos se sentían muy felices y otros muy tristes porque se iban del jardín y de dónde las profes ellos contaban los días y preguntaban cuando un día Mariangel se me arrimo y me dijo profe yo estoy muy triste yo no quiero irme de este jardín yo quiero estar con mis profes y amiguitos ella cada día empezó a estar más triste y uno hablaba con ella se le explicaba todo lo nuevo que iba a encontrar en la escuela,hasta que llegó ese día de despedirnos y Mariangel ya entendía un poco más porque se iba de su jardín ese último día ya estuvo más contenta  con sus compañeros y profes fin.",Tristeza,De vez en cuando,,,,,,,,,,,"Gestión socioemocional de los agentes educativos/docentes, familias, niños y niñas.",,Fui muy honesto y conté lo que me pasó,Niños/niñas,No,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,,,Objetos y cosas para crear y jugar.,,,,Exploración con la naturaleza.,,Experiencias que me sorprendan y con las que puedo aprender.,,,,,,,,,Actualizar mis conocimientos para innovar en mis prácticas.,,Crear o hacer parte de comunidades de aprendizaje con otros actores.,,,
13110946400,411664805,2021-11-08 21:53:19,2021-11-08 22:05:17,190.9.195.13,,,,,Sí,11/08/2021,ANTIOQUIA,Jardín Infantil Buen Comienzo Lusitania,11 a 15 años,Licienciado,31 a 40 años,Mujer,"La historia mas significativa en este momento considero que es, la aventura de aprender cosas nuevas, encontrarme con nuevas propuestas dentro de la educación inicial, que motivan a innovar, sin saber como lo haremos, pero permitirnos vivir la aventura de hacerlo.  ",Motivación,Todo el tiempo,La apropiación y uso de herramientas tecnológicas.,,,,,La disposición intencionada de los ambientes pedagógicos y otros espacios.,,,,La articulación entre la propuesta pedagógica y el proyecto educativo institucional.,,,Fui muy honesto y conté lo que me pasó,Agentes educativos/docentes,Ninguno,Dar cumplimiento a los criterios de calidad de la educación infantil (hasta los 8 años) en el marco de la atención integral.,,,Objetos y cosas para crear y jugar.,,,,,,Experiencias que me sorprendan y con las que puedo aprender.,,,Contar con ambientes para disfrutar,,,,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,Apropiarme e implementar la propuesta pedagógica y los referentes de educación inicial.,,,,
13109521292,411664805,2021-11-08 12:38:17,2021-11-08 12:43:30,186.169.235.255,,,,,Sí,11/29/2021,ANTIOQUIA,Jardín Infantil Buen Comienzo Lusitania,5 a 10 años,Normalista,21 a 30 años,Mujer,"En la actualidad, para mi fue es una situación diferente la alternancia ",Motivación,Todo el tiempo,La apropiación y uso de herramientas tecnológicas.,,La vinculación de las familias a las propuestas educativas.,,,,,,,,,La garantía de derechos de los niños y las niñas,Reflexioné y aprendí algo nuevo,Niños/niñas,. ,Potenciar el desarrollo de los niños y las niñas.,,,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,,,Exploración con la naturaleza.,,,,,,,,Desarrollar mis capacidades socioemocionales.,Desarrollar mi creatividad y recursividad.,,Actualizar mis conocimientos para innovar en mis prácticas.,,,,,
