respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:","De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó",Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
13035042544,406706099,2021-10-11 07:09:14,2021-10-11 07:16:22,132.255.22.121,,,,,Sí,ATLÁNTICO,IED Villas de San Pablo,te enseñó algo nuevo,Si aprendí muchas cosas nuevas sobretodo en el eres de naturalez y tecnología ,#aprendi ,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,,100,50,50,Tristeza,No se,Tecnología y herramientas digitales,6,11 a 13 años,Técnico,Mujer
13034150683,406706099,2021-10-10 20:11:07,2021-10-10 20:27:28,179.19.208.61,,,,,Sí,ATLÁNTICO,IED Villas de San Pablo,te confundió,Confundida con este tipo de aprendizaje por internet,#desorientada,Me sentí confundido/no entendí nada,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,78,100,51,Tristeza,Rara vez,Relación con los compañeros,6,11 a 13 años,Bachiller,Mujer
13033837632,406706099,2021-10-10 15:38:04,2021-10-10 15:43:41,186.170.112.147,,,,,Sí,ATLÁNTICO,IED Villas de San Pablo,te enseñó algo nuevo,Aprendí cosas nuevas en cada materia ??,Aprendiendo cosas nuevas ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Hacer cosas,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,37,51,100,Esperanza,No se,Lo que hago en las horas de clase,6,11 a 13 años,No se,Hombre
13033652173,406706099,2021-10-10 12:22:17,2021-10-10 12:34:50,186.30.167.18,,,,,Sí,ATLÁNTICO,IED Villas de San Pablo,te dio curiosidad por aprender más,Fue buena,Fue buena,Me dio curiosidad por saber más,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,50,50,50,Felicidad,Con frecuencia,La forma cómo los profesores enseñan,6,11 a 13 años,Universitario,Hombre
13033590206,406706099,2021-10-10 11:24:01,2021-10-10 11:30:27,132.255.22.121,,,,,Sí,ATLÁNTICO,IED Villas de San Pablo,te enseñó algo nuevo,Pues que aya tenia dificultades pero aca aprendo mejor,No,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,100,45,Esperanza,Una vez,La forma cómo los profesores enseñan,6,11 a 13 años,Bachiller,Mujer
13033553189,406706099,2021-10-10 10:43:35,2021-10-10 10:57:59,186.30.167.18,,,,,Sí,ATLÁNTICO,IED Villas de San Pablo,te dio curiosidad por aprender más,El coronavirus ,Cuidar nuestra vida ,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,39,26,24,Esperanza,Todo el tiempo,El cuidado del medio ambiente,6,11 a 13 años,Bachiller,Hombre
13033381780,406706099,2021-10-10 07:55:32,2021-10-10 08:01:17,190.84.118.12,,,,,Sí,ATLÁNTICO,IED Villas de San Pablo,te dio curiosidad por aprender más,Cada vez que un docente comparte un nuevo tema de estudio.. Siento ganas de seguir aprendiendo algo nuevo.. Es una gran oportunidad de aprender y adquirir conocimientos y aprendizajes nuevos y desafíos. ,"#NUEVA CLASE, UN NUEVO DESAFÍO DE APRENDIZAJE Y CONOCIMIENTO. ",Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,0,100,Satisfacción/orgullo,Todo el tiempo,Innovación / creatividad,6,11 a 13 años,Bachiller,Mujer
13032780428,406706099,2021-10-09 19:46:30,2021-10-09 19:53:50,190.84.117.218,,,,,Sí,ATLÁNTICO,IED Villas de San Pablo,te enseñó algo nuevo,Que e aprendido a muchas cosas que no sabia,#educarsemás,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Hacer cosas,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,100,20,95,Felicidad,Con frecuencia,Cómo resolver conflictos,7,11 a 13 años,Bachiller,Mujer
13032571703,406706099,2021-10-09 13:29:38,2021-10-09 15:37:08,132.255.22.121,,,,,No,ATLÁNTICO,IED Villas de San Pablo,te enseñó algo nuevo,Aprendi algo nuevo porque me ayudó a entender muchas cosas que no sabía cada año aprendo algo nuevo y más experiencias lo que pasó fue yo no entiendia una clase y no la entendía y no le entendía hasta que pasaron varios días para que yo la pudiera entender me esforcé mucho para poder saber qué es lo que significaba una cosa y lo que significaba otra,Cada día se aprende algo nuevo con esfuerzo,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,0,100,Felicidad,No se,Relación con los compañeros,6,11 a 13 años,Bachiller,Mujer
13032567721,406706099,2021-10-09 15:22:16,2021-10-09 15:30:09,181.78.12.219,,,,,Sí,ATLÁNTICO,IED Villas de San Pablo,te confundió,Las nuevas temáticas de matemáticas ya que en primaria no me daban temas tan complejos pero en cuanto entré a sexto me empezaron a dar mucho más difíciles,Complicaciones matemáticas,Me sentí confundido/no entendí nada,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,50,80,Angustia/Miedo,Con frecuencia,Ninguna de las anteriores,7,11 a 13 años,Bachiller,Mujer
