respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",FECHA DE IMPLEMENTACIÓN,DEPARTAMENTO,NOMBRE DEL CENTRO INFANTIL O INSTITUCIÓN EDUCATIVA,¿Cuántos años de experiencia tienes en la educación infantil? ,¿Cuál es tu nivel de formación?,¿Cuéntanos en qué rango de edad te encuentras ?,¿Cuál es tu género?,"Narra una historia relacionada con una situación significativa para ti (positiva, negativa, interesante o mixta), que hayas vivido o que estés viviendo como agente educativo en el centro infantil. Todo lo que quieras decir es válido.",La historia que contaste te generó.,¿Con qué frecuencia sucede la situación que narraste en la historia?,¿Con cuáles de las siguientes situaciones se relaciona tu historia? Escoge 3,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,La vinculación de las familias a las propuestas educativas.,Los momentos de alimentación de las niñas y los niños.,El desempeño de los agentes educativos/docentes y sus prácticas.,La disposición intencionada de los ambientes pedagógicos y otros espacios.,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",El acompañamiento al tránsito educativo de las niñas y los niños.,El trabajo colaborativo entre los agentes educativos/docentes.,La articulación entre la propuesta pedagógica y el proyecto educativo institucional.,"Gestión socioemocional de los agentes educativos/docentes, familias, niños y niñas.",La garantía de derechos de los niños y las niñas,"Mientras escribías la historia, sentiste que...",¿Cuál es el actor principal de tu historia?,"Si en la anterior pregunta tu respuesta fue ""Otro"", escribe cuál.","De acuerdo con la historia que contaste, ¿Cuál fue tu rol como agente educativo/docente?","Si fueras una niña o niño de primera infancia, ¿Cómo te gustaría vivir tu educación inicial? Elegir 3 opciones",Una alimentación que me guste.,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,Poder hablar y preguntar más.,Más momentos de juego y diversión.,Exploración con la naturaleza.,Lugares donde me sienta tranquilo(a) y alegre.,Experiencias que me sorprendan y con las que puedo aprender.,Compartir (liderar) experiencias con los demás.,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,Contar con ambientes para disfrutar,op1,op2,"Desde tu rol como agente educativo/docente, ¿hacia dónde enfocarías tus acciones para aportar a la calidad de la educación inicial? Elige 3 opciones",Desarrollar mi creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,Apropiarme e implementar la propuesta pedagógica y los referentes de educación inicial.,Crear o hacer parte de comunidades de aprendizaje con otros actores.,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",Otra,cual
13032391565,409984779,2021-10-09 12:13:22,2021-10-09 12:21:31,181.51.33.116,,,,,Sí,10/09/2021,ANTIOQUIA,CI ARANJUEZ BERLIN,5 a 10 años,Licienciado,21 a 30 años,Mujer,"En este momento estoy viviendo una situación con una niña que me ha exigido mucho, porque la niña a pesar de que ha asistido todo el año y manifiesta afecto hacia mi, siempre al ingreso llora mucho, eso de alguna manera afecta a si familia y en lo que he observado la misma familia permite que sucedan estas cosas trasmitiendo a la niña inseguridad. Como docente es un trabajo familiar que se ha convertido en un reto ",Motivación,De vez en cuando,,,La vinculación de las familias a las propuestas educativas.,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,N/A,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y niñas.,Profes más afectivos,,,Que mi familia me acompañe más.,,,,,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,Apropiarme e implementar la propuesta pedagógica y los referentes de educación inicial.,,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",,
13031434376,409984779,2021-10-08 21:10:43,2021-10-08 21:22:32,186.83.232.128,,,,,Sí,10/08/2021,ANTIOQUIA,CI ARANJUEZ BERLIN,5 a 10 años,Especialista,31 a 40 años,Mujer,"Un día en el centro infantil, los días en el centro infantil son mágicos, los niños creen que las profes hacen magia, pero no son ellos quienes hacen magia en mi, me permiten entender la simple de la vida, no dar trascendencia a los problemas que se viven a diario, me centra y me permite vivir el día a día.",Motivación,Todo el tiempo,,La forma como está organizado el día a día de los niños y las niñas en el Centro Infantil o Institución Educativa.,,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,No respondí otro,Potenciar el desarrollo de los niños y las niñas.,,,,,,,Exploración con la naturaleza.,Lugares donde me sienta tranquilo(a) y alegre.,,,,Contar con ambientes para disfrutar,,,,Desarrollar mi creatividad y recursividad.,,,,,,,
13030459409,409984779,2021-10-08 11:51:12,2021-10-08 12:02:21,190.240.40.115,,,,,Sí,10/08/2021,ANTIOQUIA,CI ARANJUEZ BERLIN,11 a 15 años,Licienciado,41 a 50 años,Mujer,"Mi narración es la historia que me encanto, de una familia. Hace muchos años, tuvimos la oportunidad de que llegara a nuestras vidas dos hermosas personas, doña Ana y don Humberto, que, con su carisma, su amor y entrega han logrado robar el corazón de mi hija Ítala y de mí como mamá.  Desde mi gestación, ellos estuvieron preocupados por mi salud y la de mi bebé; luego de que nació, le han depositado lo mejor de sí al crecimiento y formación de mi pequeña. Hoy después de 4 años, tengo mucho que agradecerles ya que se han comportado como dos verdaderos abuelos y que, con su amor, han destacado lo mejor de ella., viven con nosotros nos aportan y le aportamos los acompañamos, ayudamos con su vivienda y alimentación, ellos con su amor y compañía con nuestra hija, somos felices como una familia. ",Alegría,De vez en cuando,,,La vinculación de las familias a las propuestas educativas.,,,,,,,,,,Reflexioné y aprendí algo nuevo,Familias y otras personas significativas,Los niños,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y niñas.,,,,,,,,,Experiencias que me sorprendan y con las que puedo aprender.,,,,,,,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,,,,
13026821451,409984779,2021-10-07 08:31:41,2021-10-07 08:44:33,191.95.154.188,,,,,Sí,10/07/2021,ANTIOQUIA,CI ARANJUEZ BERLIN,Menos de 1 año,Otros,21 a 30 años,Mujer,"viví un situación con una de las familias que hacen parte de la Fundación Mundo Mejor, ya que la madre una noche tipo 8:00pm me escribe un mensaje por whatsApp, diciendo "" necesito hable con usted urgentemente"" de inmediato le respondí y lo que pasaba era que el niño se encontraba enfermo y como son población venezolana no contaban con una aseguración a salud, la madre estaba desesperada ya que por esa semana en el centro infantil tuvimos una jornada de vacunación y le estaba  echan la culpa a las vacunas, inmediatamente le explico la situación y al día siguiente me dirijo a Famicove para ver como le podiamos ayudar, se logro conseguir la cita para el menor, pero aun así la madre seguí disgustada y me escribía mensajes donde me contaba que necesitaba dinero, mi respuesta fue que no le podíamos ayudar económicamente, pero que de igual forma seguiríamos ayudando la en conseguir las citas medicas, para que el mejor fuera atendido, lo cual se logro siempre, pero la madre ya dejo de ir a las citas. ",Tristeza,De vez en cuando,,,,,El desempeño de los agentes educativos/docentes y sus prácticas.,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,"Gestión socioemocional de los agentes educativos/docentes, familias, niños y niñas.",,Reflexioné y aprendí algo nuevo,Niños/niñas,.,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,,,,Que mi familia me acompañe más.,,,,,Experiencias que me sorprendan y con las que puedo aprender.,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,Desarrollar mis capacidades socioemocionales.,Desarrollar mi creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,,,,
13063998840,409984779,2021-10-21 18:46:52,2021-10-21 19:09:34,190.70.159.252,,,,,Sí,10/21/2021,ANTIOQUIA,CI HOGARES BAMBI,5 a 10 años,Licienciado,41 a 50 años,Mujer,"Llega un nuevo año, con variedad de matices, miedo a lo desconocido y un corazón palpitante por llegar de nuevo a vivir las mejores experiencias que la vida nos depara, sin saber si serán buenas o no, pero con la convicción de q lo que llegue a hacer lo haría con todo el amor del mundo, llegan esas personas tan esperadas y te alegran la vida, te retan a ser cada día mejor, te llenan de amor, de ilusión, son tantos sentimientos que cada día preparas para ellos lo mejor q esta en ti, porq quieres que cada día sea inolvidable, se siente tan bien cuando son ellos quienes diariamente agradecen tu vida, y esas familias te llenan de calidez y amor, observan en silencio lo que haces y te retribuye con su respeto y amabilidad lo que tu haces con tanto amor, es sentirme cada día tan feliz y agradecida, convencida q mi labor es mi mayor y mejor elección, amando cada día más esto q hago.",Orgullo/Satisfacción,Todo el tiempo,,,,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,"Niños, niñas y familias",Potenciar el desarrollo de los niños y las niñas.,Profes más afectivos,,,,,,,Lugares donde me sienta tranquilo(a) y alegre.,,,,,,Agentes educativos más alegres y creativos,Desarrollar mis capacidades socioemocionales.,Desarrollar mi creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,,,,
13063537032,409984779,2021-10-21 15:41:26,2021-10-21 15:57:53,186.169.138.1,,,,,Sí,10/21/2021,ANTIOQUIA,CI HOGARES BAMBI,5 a 10 años,Especialista,31 a 40 años,Mujer,"En alguna ocasión atendiendo niños y niñas de un municipio, llegó una niña en desnutrición, su madre con ella y estaba siendo atendida por buen comienzo, en un momento sus padres no permitían ayuda porque sentían que se estaba metiendo en su intimidad. Con el paso del tiempo la niña madre cambió de opinión y empezó a cooperar y la ingresó al centro de Dllo infantil. Se puedo realizar trabajo interdisciplinario y en compañía de sus padres y con esto se evidenciaron grandes logros, no solo en el estado nutricional, sino también desde los diferentes aspectos. Al día de la transición al preescolar su madre se encontraba completamente agradecida por todo lo logrado",Motivación,De vez en cuando,,,,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Me confundí y no sabía que contar,Familias y otras personas significativas,N.a,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y niñas.,,,,,,,,,Experiencias que me sorprendan y con las que puedo aprender.,,,,,,,Desarrollar mi creatividad y recursividad.,,,,,,,
13063444776,409984779,2021-10-21 15:13:52,2021-10-21 15:24:29,190.159.8.146,,,,,Sí,10/21/2021,ANTIOQUIA,CI HOGARES BAMBI,Más de 15 años,Especialista,41 a 50 años,Mujer,"Un año cargado de aprendizajes personales y profesionales, la energía creadora de la vida al servicio del amor y allí, mi proposito de vida confabulándose con el universo para dar frutos. Al fin comprendo y acepto mi lugar en la Fundación, tanto que aprender y tanto para dar, tantos regalos por recibir, dolo necesito aquietarme y ""ver"" la belleza en todo. Volver a la presencialidad me ha regalado sonrisas, llantos, frustraciones, alegría y retribución. Los chicos me enseñan y me cargan de luz, enseñándome a mantener mi atención sin distraerme de mi única responsabilidad, ponerme al servicio del amor. Bendita vida, bendita labor esta de aprender, bendito regalo el de ser maestra!!!",Motivación,Todo el tiempo,,,,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Reflexioné y aprendí algo nuevo,Niños/niñas,NA,"Fortalecerme como agente educativo/docente para alcanzar mis proyectos personales, familiares y profesionales.",,,,,,Más momentos de juego y diversión.,,Lugares donde me sienta tranquilo(a) y alegre.,Experiencias que me sorprendan y con las que puedo aprender.,,,,,,Desarrollar mis capacidades socioemocionales.,Desarrollar mi creatividad y recursividad.,,Actualizar mis conocimientos para innovar en mis prácticas.,,,,,
13063516967,409984779,2021-10-21 15:29:25,2021-10-21 15:49:59,191.95.38.46,,,,,Sí,10/21/2021,ANTIOQUIA,CI MANRIQUE VERSALLES,1 a 4 años,Licienciado,21 a 30 años,Mujer,"Cómo bien sabemos la presencialidad era un ahnelo de los niños y niñas y las agentes educativas,ya que tuvimos un largo tiempo trabajando desde la virualidad, y como bien sabemos los niños y niñas necesitan de la interacción aprender con el otro y tener un acompañamiento desde los diferentes componentes, psicosocial, pedagógico y nutrición. Después de este breve re cuento quiero decir que cuando iniciaron las clases presenciales me dió la oportunidad de empezar a conocer la vida de cada uno de mis niños y niñas, entre ellos hay una niña que tiene una mirada muy dulce de textura delgada, piel blanca, cabello corto de color castaño claro, está niña en medio de las interacciones se ve muy desesperada por la piquiña de su cabeza, cuando nos detenemos a mirar el motivo de su desesperación y resulta que la niña está llena de piojitos y liendres así que las profes tomamos iniciativa y empezamos a raspar la cada vez que venía, ya que sabemos que viene de una familia muy vulnerable, niña que viene de ICBF , una niña que que nunca ha tenido el acompañamiento de una madre o un padre presente en su proceso de formación, los únicos a cargos de ella son sus abuelos dos personas de la tercera edad. La verdad esto me llena de mucha nostalgia como pueden existir personas que abandonen a sus hijos Y les dejen la responsabilidad a dos pobres ancianos que ni trabajar pueden. Por lo tanto es una niña que carece de afecto y muchos cuidados personales, por lo tanto acá en el jardín la hacemos sentir la más preciosa, le expresamos mucho amor y cariño y estamos pendiente paso a paso de como se desarrolla durante el día.",Impotencia,De vez en cuando,,,La vinculación de las familias a las propuestas educativas.,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",El acompañamiento al tránsito educativo de las niñas y los niños.,,,,,Fui muy honesto y conté lo que me pasó,Niños/niñas,No,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y niñas.,,,,Que mi familia me acompañe más.,,,,Lugares donde me sienta tranquilo(a) y alegre.,,,Sentirme seguro(a) y protegido(a) por los adultos que me rodean.,,,,,Desarrollar mi creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",,
13062923039,409984779,2021-10-21 11:44:39,2021-10-21 12:23:33,191.91.252.122,,,,,Sí,10/21/2021,ANTIOQUIA,CI MANRIQUE VERSALLES,5 a 10 años,Licienciado,31 a 40 años,Mujer,"El era un niño alegre, despierto, lleno de vida, que disfrutaba de los momentos al lado de sus padres, y su abuela materna. El al igual que su padre hijo único, el niño feliz, amado por su familia. Un día las cosas empezaron a cambiar, pues papá se quedó sin empleo y mamá se mantenía estresada, las peleas eran constantes lo mejor era que ya no fuera el niño de papá y mama, si no unos días de papá y otros de mamá, mamá se canso de jugar así y decidió irse y olvidar que tenían una familia, así papá e hijo quedaron solos, la abuela ayudaba a cuidar el niño, mientras papá salía a buscar cada día algo que hacer para rebuscar para la comida, el niño no entendía que pasaba , solo estaba triste queria que su mamá volviera, que todo fuera como antes, papá se esforzaba mucho, cada día más, hasta que logro ir borrando las tristezas hasta que el pequeño entendió que eran una familia de dos, que papá podía hacerlo feliz y el a papá. Papá era un súper héroe que con alegría y empeño todos los días trataba de que su niño fuera el niño más feliz",Motivación,De vez en cuando,,,,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,,,Reflexioné y aprendí algo nuevo,Niños/niñas,No aplica,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y niñas.,Profes más afectivos,,Objetos y cosas para crear y jugar.,,,,Exploración con la naturaleza.,,,,,,,,,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,,,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",,
13062901935,409984779,2021-10-21 11:46:02,2021-10-21 12:16:24,191.91.252.122,,,,,Sí,10/21/2021,ANTIOQUIA,CI MANRIQUE VERSALLES,1 a 4 años,Profesional no Licenciado,31 a 40 años,Mujer,"Un día como cualquiera llegas al centro infantil y los niños y niñas te reciben con un fuerte abrazo, te dicen profe te quiero mucho, juegan contigo, te peinan, te maquillan y sientes que se te hincha el el corazón de alegría",Motivación,Todo el tiempo,,,,,,,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",,,,"Gestión socioemocional de los agentes educativos/docentes, familias, niños y niñas.",La garantía de derechos de los niños y las niñas,Fui muy honesto y conté lo que me pasó,Niños/niñas,No,Potenciar el desarrollo de los niños y las niñas.,Profes más afectivos,,,,,,Exploración con la naturaleza.,,,,Sentirme seguro(a) y protegido(a) por los adultos que me rodean.,,,,,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,,,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",,
