respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",FECHA DE IMPLEMENTACIÓN,DEPARTAMENTO,NOMBRE DEL CENTRO INFANTIL O INSTITUCIÓN EDUCATIVA,¿Cuántos años de experiencia tienes en la educación infantil? ,¿Cuál es tu nivel de formación?,¿Cuéntanos en qué rango de edad te encuentras ?,¿Cuál es tu género?,"Narra una historia relacionada con una situación significativa para ti (positiva, negativa, interesante o mixta), que hayas vivido o que estés viviendo como agente educativo en el centro infantil. Todo lo que quieras decir es válido.",La historia que contaste te generó.,¿Con qué frecuencia sucede la situación que narraste en la historia?,¿Con cuáles de las siguientes situaciones se relaciona tu historia? Escoge 3,"Mientras escribías la historia, sentiste que...",¿Cuál es el actor principal de tu historia?,"De acuerdo con la historia que contaste, ¿Cuál fue tu rol como agente educativo/docente?","Si fueras una niña o niño de primera infancia, ¿Cómo te gustaría vivir tu educación inicial? Elegir 3 opciones",Una alimentación que me guste.,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,Poder hablar y preguntar más.,Más momentos de juego y diversión.,Exploración con la naturaleza.,Lugares donde me sienta tranquilo(a) y alegre.,Experiencias que me sorprendan y con las que puedo aprender.,Compartir (liderar) experiencias con los demás.,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,Contar con ambientes para disfrutar,op1,op2,"Desde tu rol como agente educativo/docente, ¿hacia dónde enfocarías tus acciones para aportar a la calidad de la educación inicial? Elige 3 opciones",Desarrollar mi creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,Apropiarme e implementar la propuesta pedagógica y los referentes de educación inicial.,Crear o hacer parte de comunidades de aprendizaje con otros actores.,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",Otra,cual
13118869885,401757236,2021-11-11 08:38:42,2021-11-11 08:48:47,186.84.20.111,,,,,Sí,11/11/2021,ATLÁNTICO,IE San Luis,11 a 15 años,Especialista,41 a 50 años,Mujer,"Encontramos que los niños y las niñas se asustan en el paso de transición y primaria, se observa que hay una serie de cuadernos libros y exigencias en el grado primero. Con esta pandemia se observa que los niños lograron otros aprendizajes, sin embargo hay una tensión en los procesos lectores y escritores y a veces por el afán de cumplir no se vive el proceso con mas tranquilidad respetando los ritmos de las niñas y los niños.  ",Impotencia,Todo el tiempo,El desempeño de los agentes educativos/docentes y sus prácticas.,Fui muy honesto y conté lo que me pasó,Niños/niñas,Potenciar el desarrollo de los niños y las niñas.,,,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,,Más momentos de juego y diversión.,,,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,,Desarrollar mi creatividad y recursividad.,,Actualizar mis conocimientos para innovar en mis prácticas.,Apropiarme e implementar la propuesta pedagógica y los referentes de educación inicial.,,,,
13118843130,401757236,2021-11-11 08:27:32,2021-11-11 08:38:22,186.84.20.111,,,,,Sí,11/11/2021,ATLÁNTICO,IE Pablo Neruda,11 a 15 años,Especialista,41 a 50 años,Mujer,"Los niños han llegado con ciertos temores de entrar al colegio de nuevo, pero yo intento generar actividades atractivas para ellos, pues no es fácil haber estado casi año y medio por fuera del colegio. Los padres les hacían las tareas y eso se ve reflejado en sus trabajos, se sienten temerosos de hacer sus propios trabajos, hay un afán porque el otro año ingresan a segundo y no tiene todas las bases, por eso he intentado que lo que hago sea significativo para ellos y que aporte a sus aprendizajes  ",Motivación,Todo el tiempo,El desempeño de los agentes educativos/docentes y sus prácticas.,Fui muy honesto y conté lo que me pasó,Niños/niñas,Potenciar el desarrollo de los niños y las niñas.,Profes más afectivos,,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,,Más momentos de juego y diversión.,,,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,Desarrollar mis capacidades socioemocionales.,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,Apropiarme e implementar la propuesta pedagógica y los referentes de educación inicial.,,,,
13118840152,401757236,2021-11-11 08:33:28,2021-11-11 08:37:13,186.102.61.33,,,,,Sí,11/11/2021,ATLÁNTICO,IE José Consuegra Higgins,11 a 15 años,Licienciado,51 a 60 años,Mujer,"Comentar de la experiencia de trabajo algo que sea impactante es complejo porque todos los días traen novedad; así como son las niñas y los niños. Ahora mismo cuento con un niño que se destaca por su iniciativa, tiene argumentos para exigir la disposición de recursos que sabe que existen en la institución y siempre está atento procurando que se estén al acceso de él y de sus compañeros. ",Motivación,Todo el tiempo,La garantía de derechos de los niños y las niñas,Reflexioné y aprendí algo nuevo,Niños/niñas,Potenciar el desarrollo de los niños y las niñas.,,,Objetos y cosas para crear y jugar.,,,Más momentos de juego y diversión.,,,Experiencias que me sorprendan y con las que puedo aprender.,,,,,,,Desarrollar mi creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,Crear o hacer parte de comunidades de aprendizaje con otros actores.,,,
13118815507,401757236,2021-11-11 08:22:12,2021-11-11 08:27:23,186.84.20.111,,,,,Sí,11/11/2021,ATLÁNTICO,CDI Gimnasio San Luis,5 a 10 años,Tecnólogos,31 a 40 años,Mujer,"En estos momentos de regreso a la presencialidad, el cambio no ha sido fácil para los niños y niñas, sienten muchos temores, algunos su comunicación verbal es escaza y no ha tocado retomar de nuevo la confianza en ellos, pues han tenido perdidas de abuelos por el coronavirus. Esto ha incidido en sus procesos de aprendizaje.  ",Impotencia,Todo el tiempo,"La calidad de las interacciones entre agentes educativos/docentes, familias, niños y niñas.",Fui muy honesto y conté lo que me pasó,Niños/niñas,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y niñas.,Profes más afectivos,,,Que mi familia me acompañe más.,,Más momentos de juego y diversión.,,,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,Desarrollar mis capacidades socioemocionales.,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,,Crear o hacer parte de comunidades de aprendizaje con otros actores.,,,
13118806896,401757236,2021-11-11 08:17:47,2021-11-11 08:23:54,186.102.61.33,,,,,Sí,11/11/2021,ATLÁNTICO,CDI San Luis,Más de 15 años,Profesional no Licenciado,51 a 60 años,Mujer,"El trabajo en sectores de alta vulnerabilidad nos permite brindar atención a familias que no cuentan con recursos para formación privada y la gratitud aflora en distintos aspectos. Así, recuerdo con claridad la participación de las familias en jornadas de trabajo junto a sus hijos e hijas.",Motivación,Todo el tiempo,La vinculación de las familias a las propuestas educativas.,Reflexioné y aprendí algo nuevo,Niños/niñas,Potenciar el desarrollo de los niños y las niñas.,,,Objetos y cosas para crear y jugar.,,,Más momentos de juego y diversión.,,,Experiencias que me sorprendan y con las que puedo aprender.,,,,,,,Desarrollar mi creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,Crear o hacer parte de comunidades de aprendizaje con otros actores.,,,
13115465371,401757236,2021-11-10 08:40:57,2021-11-10 08:50:55,190.147.146.7,,,,,Sí,11/10/2021,ATLÁNTICO,CDI La Playa,5 a 10 años,Licienciado,41 a 50 años,Mujer,"desde las experiencias adquiridas con los procesos de transito armonioso este año trabajando de manera articulada con la gran transicion y con el proyecto de las emociones con kiwi, han mejorado los resultados que hemos obtenido con los niños y niñas en el cdi, ya que ellos reconocen las emociones y como debemos actuar en caso de que ellas lleguen a nosotros, el comportamiento de los niños ha mejorado y las actividades realizadas con ellos tambien .",Motivación,Todo el tiempo,"Gestión socioemocional de los agentes educativos/docentes, familias, niños y niñas.",Fui muy honesto y conté lo que me pasó,Niños/niñas,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y niñas.,,,Objetos y cosas para crear y jugar.,,,Más momentos de juego y diversión.,,,,,Sentirme seguro(a)  y protegido(a) por los adultos que me rodean.,,,,,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,,,"Identificar situaciones problemáticas en el Centro Infantil / Institución Educativa y generar soluciones creativas, de manera colaborativa e interdisciplinaria.",,
13115107951,401757236,2021-11-10 06:17:55,2021-11-10 06:27:41,181.78.23.122,,,,,Sí,11/09/2021,ATLÁNTICO,CDI Amira de la Rosa,5 a 10 años,Tecnólogos,31 a 40 años,Mujer,"Bueno , entre tantas historias.   Una en particular de una niña venezolana , que al llegar al CDI ella todo le asombraba , era muy, muy tímida  , descubrí que le gustaba el dibujo , y así  de fue adaptando. Ahora es una niña segura , muy inteligente.  Dándole estrategia pedagógica y enriquecedoras para su formación la niña ahora se expresa con mucha fluidez, se le nota muy alegre.",Motivación,De vez en cuando,El acompañamiento al tránsito educativo de las niñas y los niños.,Fui muy honesto y conté lo que me pasó,Niños/niñas,Potenciar el desarrollo de los niños y las niñas.,Profes más afectivos,Una alimentación que me guste.,,Que mi familia me acompañe más.,,Más momentos de juego y diversión.,Exploración con la naturaleza.,,Experiencias que me sorprendan y con las que puedo aprender.,Compartir (liderar) experiencias con los demás.,,,,,Desarrollar mis capacidades socioemocionales.,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,Apropiarme e implementar la propuesta pedagógica y los referentes de educación inicial.,,,,
13115076202,401757236,2021-11-10 05:54:35,2021-11-10 06:12:01,167.0.218.43,,,,,Sí,11/10/2021,ATLÁNTICO,CDI San Luis,5 a 10 años,Normalista,21 a 30 años,Mujer,"Había una una vez una niña que quería mucho a su maestra y quería estar siempre con ella. Hasta que un día se dio cuenta de lo mucho que estaba creciendo. Su maestra le narro una historia donde los niños grande iban para otra escuela, la niña al escuchar todo eso miro y expreso "" seño mi mamá dijo que yo seguiré aquí con usted "" su maestra la abrazo y le dijo que las quería mucho, que ya estaba creciendo y que la llevarían a otro colegio donde conocerás nuevos amigos y una maestra que también la va a querer. La niña quedó pensativa y un poco triste.... pero entendió que ya estaba creciendo y su uniforme ya no le quedaba.  Luego le conté que a medida que iban creciendo tenían muchas cosas por conocer y aprender.. la maestra también le dijo a la niña que cuando llegara a otro colegio podía contar todas estas experiencias bonitas que vivió con su maestra cuando está más pequeña así no te sentirás triste además puedes venirme a visitar.",Motivación,Todo el tiempo,El acompañamiento al tránsito educativo de las niñas y los niños.,Fui muy honesto y conté lo que me pasó,Niños/niñas,Acompañar a las familias para que apoyen el desarrollo y aprendizaje de los niños y niñas.,,,,Que mi familia me acompañe más.,,,,,,,,,,,,,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,Actualizar mis conocimientos para innovar en mis prácticas.,,,,,
13113917545,401757236,2021-11-09 18:47:29,2021-11-09 18:51:00,186.102.17.94,,,,,Sí,11/09/2021,ATLÁNTICO,IE Concetración Cevillar,1 a 4 años,Licienciado,21 a 30 años,Mujer," A partir de los momentos de trabajo en el aula, se abren ventanas al mundo mostrando otras posibilidades para mejorar la calidad de vida. Cuando los niños y las niñas disfrutan recursos que no están presentes en el hogar, están identificando que existen otras condiciones y que pueden aspirar a ellas. Es gratificante saber que la educación no sólo representa aprendizajes memorísticos sino además la ocasión para descubrir y generar herramientas que cambian su relación con el mundo.  ",Orgullo/Satisfacción,Todo el tiempo,La disposición intencionada de los ambientes pedagógicos y otros espacios.,Reflexioné y aprendí algo nuevo,Niños/niñas,Potenciar el desarrollo de los niños y las niñas.,,,Objetos y cosas para crear y jugar.,Que mi familia me acompañe más.,,,,,Experiencias que me sorprendan y con las que puedo aprender.,,,,,,,Desarrollar mi creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,Crear o hacer parte de comunidades de aprendizaje con otros actores.,,,
13113866637,401757236,2021-11-09 18:25:40,2021-11-09 18:32:28,186.102.17.94,,,,,Sí,11/09/2021,ATLÁNTICO,IE José Antonio Galán,1 a 4 años,Licienciado,31 a 40 años,Mujer,"Cuando se trabaja con niñas y niños el juego es una constante que está en el aula, en el patio, en todas partes y momentos; siempre tengo presente este aspecto porque independiente de la actividad que se les propone, están pensando en satisfacer su deseo de encuentro a través del juego que les caracteriza. ",Motivación,Todo el tiempo,La disposición intencionada de los ambientes pedagógicos y otros espacios.,Reflexioné y aprendí algo nuevo,Niños/niñas,Potenciar el desarrollo de los niños y las niñas.,,,Objetos y cosas para crear y jugar.,,,Más momentos de juego y diversión.,,,,,,Contar con ambientes para disfrutar,,,,Desarrollar mi creatividad y recursividad.,Motivar la vinculación de las familias a las propuestas del Centro Infantil / Institución Educativa.,,,Crear o hacer parte de comunidades de aprendizaje con otros actores.,,,
