respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:","De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó",Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
12647710743,402493917,2021-05-11 10:04:59,2021-05-11 10:07:48,181.54.0.3,,,,,No,VALLE DEL CAUCA,Colegio Comfandi Terranova,te confundió,Me gustaba ir al colegio para verme con mis amigos y hablar con ellos ,#amigos ,Me sentí confundido/no entendí nada,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,24,50,50,Tristeza,No se,Ninguna de las anteriores,8,11 a 13 años,Bachiller,Mujer
12647696690,402493917,2021-05-11 09:59:27,2021-05-11 10:04:37,152.231.27.3,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,La experiencia qué compartiría sería por ejemplo en emprendimiento como administrar una empresa y con eso pude ayudar a mis padres con su tienda.,#Aprendiendo,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,0,50,100,Esperanza,Con frecuencia,Innovación / creatividad,8,11 a 13 años,No se,Mujer
12647689623,402493917,2021-05-11 09:56:38,2021-05-11 10:02:31,186.86.52.234,,,,,Sí,CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,Aunque apesar de los temas que ví no sabía Pero logré aprenderlos,#aprendiendo ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,0,50,100,Felicidad,Con frecuencia,La forma cómo los profesores enseñan,8,14 a 16 años,No se,Hombre
12647677285,402493917,2021-05-11 09:28:36,2021-05-11 10:05:33,186.86.52.42,,,,,Sí,CAUCA,Colegio Comfandi Terranova,te dio curiosidad por aprender más,Una vez llevaron al colegio unas personas que nos enseñaron a decir nuestro nombre en señas. ,#señas ,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,90,1,51,Felicidad,Rara vez,Relación con los compañeros,8,11 a 13 años,Bachiller,Mujer
12647674983,402493917,2021-05-11 09:27:26,2021-05-11 09:58:34,204.199.87.114,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,"Cuando estaba en el colegio tenia una amiga, la cual yo quería como mi mejor amiga, yo era muy sincera con ella, pero había algo que hacia que ella hablara mal de mi con los demás, abecés le contaba algunas cosas que no quería que nadie se enterara y ella le contaba a los a demás siempre quería que yo estuviera triste o que me fuera mal, cuando empezó la cuarentena que estábamos en clase virtuales estábamos haciendo los proyectos finales ella me pedía ayuda para que le explicara algo y yo con mucho gusto le explicaba y cuando yo le preguntaba algo ella me decía: hay no hágalo usted sola que usted debe saber y eso me ponía triste y me dada mucha rabia su actitud y su forma de ser, y ya rompí la amistad con ella porque de verdad era mi amiga y yo no era así con ella para que se portara así conmigo. ",#laenvidia ,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,0,100,100,no está seguro,Con frecuencia,Relación con los compañeros,8,14 a 16 años,Bachiller,Mujer
12647660613,402493917,2021-05-11 09:13:33,2021-05-11 09:54:14,181.54.0.155,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,"Estaba en horas del descanso, junto a mis amigos. Estábamos jugando y conversando, en eso, una compañera del salón se nos une y empieza a jugar con nosotros. En lo que jugábamos, pude ver lo brusco que estábamos jugando, pero como era ""Divertido"" no lo tomé en cuenta y seguimos jugando de esa manera. Hasta que, sin querer, uno de mis amigos empujó a la compañera que se nos acercó y se dobló el pie. Nosotros fuimos a ayudarla y la ayudamos a ir con un docente, así este nos podría auxiliar. Con esto pude entender que las cosas que a mi parecer son divertidas, pueden no serlo cuando ocurre algo malo, debemos ser consientes de las consecuencias de nuestros actos, ese fue nuestro error y por eso, alguien salió lastimado. A día de hoy, nos llevamos bien con esta niña, pudo perdonar a mi amigo quién la empujó y todo está solucionado, aunque siempre dejando como enseñanza el pensar antes de actuar.",#AccidenteEnLaEscuela,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,80,100,70,Angustia/Miedo,Una vez,Relación con los compañeros,8,11 a 13 años,No se,Mujer
12647640380,402493917,2021-05-11 09:36:11,2021-05-11 09:49:19,181.62.52.36,,,,,Sí,CAUCA,Colegio Comfandi Terranova,te dio curiosidad por aprender más,"Al principio del año séptimo, me dio un poco de curiosidad al saber que podíamos hacer experimentos en el laboratorio, despues con la situación Covid-19, me decepcione y hasta el momento espero entrar presencial para seguir con el proceso. Yo se que no fui el único que quiso experimentar esto y desea entrar presencial. ",#Experimentos ,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,32,22,50,Rabia,Rara vez,Innovación / creatividad,8,11 a 13 años,Universitario,Hombre
12647634227,402493917,2021-05-11 09:19:03,2021-05-11 09:46:50,190.108.79.158,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,Un día en el colegio estábamos en la clase de ciencias naturales  exponiendo un tema en grupo y uno de mis compañeros estaba exponiendo con una regla y el profe dijo que para que se viera mas presentable y hubiera mas concentración no debíamos de señalar con un objecto o con el dedo.  ,presentación al exponer ,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,79,24,50,no está seguro,Una vez,La forma como los profesores me evalúan,8,11 a 13 años,Bachiller,Mujer
12647626928,402493917,2021-05-11 09:20:40,2021-05-11 09:44:00,186.168.99.203,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te confundió,"me distraigo mas con clases virtuales, me falta mas dedicación me gusta mas las clases presenciales mas divertido y me siento mejor",#meurgelasclasespresenciales,Me dio curiosidad por saber más,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,50,50,80,Tristeza,No se,Lo que hago en mi tiempo libre,,,,
12647621506,402493917,2021-05-11 09:32:07,2021-05-11 09:43:13,181.54.0.212,,,,,No,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,"Al principio de la pandemia las informaciones que nos daban no eran muy claras y era demasiadas, lo cual me sirvió para aprender algo nuevo", #Trabajoautonomo ,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,50,50,50,Angustia/Miedo,Rara vez,El trabajo en equipo,8,11 a 13 años,Postgrado,Mujer
12647616275,402493917,2021-05-11 09:20:44,2021-05-11 09:41:53,186.86.52.211,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te confundió,yo me confundí ya que empezamos a estudiar virtual y no sabíamos nada sobre esto a mi me pareció muy raro y difícil  porque no entendíamos casi a veces se va el internet y no nos podemos conectar,#clasesvirtuales,Me sentí confundido/no entendí nada,Mi país/el mundo,Desarrollar mis habilidades,Hacer cosas,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,60,40,50,Tristeza,Rara vez,Innovación / creatividad,8,11 a 13 años,Universitario,Hombre
12647616044,402493917,2021-05-11 09:18:56,2021-05-11 09:40:56,181.54.0.96,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te dio curiosidad por aprender más,"Recuerdo que en una clase de Ciencias Sociales, estábamos tocando temas que tenían que ver con las guerras que han surgido, una que me llamo mucho la atención fue la segunda guerra mundial y quería saber más sobre ese acontecimiento ya que yo era una de las pocas personas que no sabía sobre el tema. ",#curiosidad,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,50,100,0,Indiferencia,Una vez,Ninguna de las anteriores,,,,
12647611037,402493917,2021-05-11 09:19:28,2021-05-11 09:39:58,181.78.11.170,,,,,Sí,CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,"por lo que quiero volver al colegio es por que comparto mucho con mis amigos, y antes de salir del colegio por x situacion es por que estábamos en las interclases  y yo estaba participando en esto y pues extraño hacer ejercicio ",#Quierovolveralcole,Me dio curiosidad por saber más,Quienes me rodean,Desarrollar mis habilidades,Hacer cosas,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,89,51,58,no está seguro,Rara vez,El trabajo en equipo,8,14 a 16 años,No se,Mujer
12647607005,402493917,2021-05-11 09:27:06,2021-05-11 09:39:09,181.62.53.181,,,,,No,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,"Tuve una mala experiencia con un amigo, que me causo problemas y aprendí a tener cuidado con quien consideraba amigo.",Cuidado con las malas compañías,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,1,100,50,no está seguro,No se,Relación con los compañeros,8,14 a 16 años,No se,Hombre
12647605917,402493917,2021-05-11 09:31:58,2021-05-11 09:39:25,152.231.30.21,,,,,No,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,"El año pasado estaba desesperada por no aprender todo los temas al tiempo, después me di cuenta por medio de mi docente que había muchas maneras faciles y prácticas de hacerlo.",#sabersolucionar,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,13,17,50,Satisfacción/orgullo,Una vez,Innovación / creatividad,8,14 a 16 años,Bachiller,Mujer
12647598952,402493917,2021-05-11 09:20:43,2021-05-11 09:43:23,45.181.205.212,,,,,Sí,CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,Cuando llegue al colegio Comfandi Terranova aprendí nuevas cosas que no sabía o que en mi anterior colegio no me enseñaron ,#aprendiendomas ,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,8,9,Felicidad,Todo el tiempo,El trabajo en equipo,8,11 a 13 años,Bachiller,Mujer
