respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:","De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó",Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
12657487294,402519848,2021-05-14 09:54:52,2021-05-14 10:03:10,45.172.222.7,,,,,Sí,SANTANDER,Instituto Central de Comercio y Bachillerato,te confundió,"Los cambios logísticos de aprendizaje, pasar de compartir aprendizajes presencialmente a virtual a confundido mucho mi nivel de aprendizaje ",#presencial-virtual ,Me sentí confundido/no entendí nada,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,15,53,53,Esperanza,Rara vez,Relación con la familia,6,11 a 13 años,Bachiller,Hombre
12655070418,402519848,2021-05-13 14:00:08,2021-05-13 14:10:26,186.81.100.11,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,"Realmente hace casi dos años atrás perdí mi año lectivo estaba cursando 10 y pues fue una lección para que al próximo año a cursar hiciera las cosas mejor y ese año lo gané y pude pasar a 11 que es el grado en el que estoy ahora, realmente quiero darlo todo solamente que esta situación que a venido surgiendo los últimos 10 meses a sido un poco difícil ",#experiencia,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,48,100,50,Tristeza,Una vez,Ninguna de las anteriores,11,17 a 19 años,Bachiller,Mujer
12655053321,402519848,2021-05-13 14:00:10,2021-05-13 14:04:51,181.129.247.44,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Aprendí el manejo de plataformas nuevas ,#plataformasnuevas,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,0,50,0,Felicidad,Una vez,Ninguna de las anteriores,11,14 a 16 años,Bachiller,Hombre
12651820463,402519848,2021-05-12 14:08:40,2021-05-12 14:15:31,181.129.247.44,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,Compartir con mis amigos y salir de casa ,#Sialaeducacioncomamigos,Me dio curiosidad por saber más,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,11,16,100,Tristeza,Rara vez,Cómo resolver conflictos,4,8 a 10 años,Bachiller,Mujer
12650627479,402519848,2021-05-12 08:03:00,2021-05-12 08:07:06,200.116.194.171,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,Pues no se solo que pienso que no se lo suficiente ,No,Me dio curiosidad por saber más,Conmigo mismo,Desarrollar mis habilidades,Hacer cosas,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,52,45,100,Tristeza,Con frecuencia,La forma cómo los profesores enseñan,,,,
12649469050,402519848,2021-05-11 20:54:59,2021-05-11 21:12:21,190.248.10.11,,,,,Sí,CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,Me dio curiosidad aprender mas,Aprender mas,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,46,56,100,Felicidad,Una vez,El trabajo en equipo,6,11 a 13 años,No se,Mujer
12649305434,402519848,2021-05-11 19:27:32,2021-05-11 19:35:52,190.90.19.74,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,"Al trabajo en equipo,la convivencia,el respeto hacia los demás,",#libertad social,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,67,24,71,no está seguro,Rara vez,Liderazgo,4,8 a 10 años,Técnico,Hombre
12649160551,402519848,2021-05-11 18:19:07,2021-05-11 18:30:07,181.129.245.170,,,,,Sí,CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,Yo quiero aprender mas ,,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,34,58,Felicidad,Una vez,Relación con la familia,6,11 a 13 años,Universitario,Mujer
12649028371,402519848,2021-05-11 17:29:56,2021-05-11 17:35:52,186.116.225.54,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,Me gusto artística y quería aprender más de danza,#danza,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,36,73,Felicidad,Con frecuencia,El trabajo en equipo,5,11 a 13 años,Universitario,Hombre
12648926776,402519848,2021-05-11 16:44:10,2021-05-11 17:02:17,186.27.156.149,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Me encantaba aprender jugar con mis compañeros y la clase de natacion,Aprender y recrearme,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,97,10,53,Esperanza,Con frecuencia,El trabajo en equipo,,8 a 10 años,Técnico,Mujer
